Site,Long,Lat,Evel,Nvel,SigVe,SigVn,Cor,Solution,X,Y
ABAD,52.568,31.228,-0.65,13.77,1.54,1.54,0,Raeesi,3318042.638,4334800.251
ABAL,51.986,35.793,-1.09,10.34,0.52,0.51,0.01,Raeesi,3189794.57,4080695.222
ABAR,53.308,31.123,-0.57,13.1,1.55,1.54,0,Raeesi,3265382.48,4382123.825
ABDN,48.2135,30.3778,0.37,20.35,0.12,0.1,0.015,IPGN,3669757.691,4106347.709
ABGR,58.319,32.484,1.46,7.99,1.58,1.58,0.002,Raeesi,2828368.501,4582917.484
ABJN,57.046,31.206,3.06,11.75,1.64,1.64,0.002,Raeesi,2970156.675,4581689.061
ABRK,53.2265,31.1205,-0.34,14.44,0.11,0.13,0.012,IPGN,3271698.261,4377589.326
ABSD,52.0912,35.6612,-1.32,9.21,0.11,0.14,0.013,IPGN,3187543.205,4093282.391
AGKA,48.005,37.169,-0.56,13.04,0.53,0.54,0.012,Raeesi,3404663.993,3781926.093
AGRD,43.033,39.718,0.6,8.35,0.81,0.81,-0.005,Reilinger,3591045.7,3352573.219
AHAR,47.0497,38.4682,3.81,11.21,0.16,0.2,0.005,IPGN,3406999.799,3659919.78
AHVZ,48.7444,31.3439,-2.34,17.33,0.1,0.17,0.01,IPGN,3595322.127,4098871.231
AKHT,50.6006,35.5883,-1.52,11.71,0.13,0.1,0.014,IPGN,3295933.242,4012620.469
ALIS,51.082,28.919,0.28,20.79,1.06,1.04,0.009,Raeesi,3509911.46,4347086.114
ALXY,42.961,44.753,3.97,-3.04,0.56,0.57,-0.032,Reilinger,3320226.649,3091938.846
AMIN,52.586,35.701,-1.95,8.55,0.47,0.46,0.01,Raeesi,3150510.736,4118610.896
AMND,46.1552,38.2312,2.33,11.26,0.11,0.12,0.01,IPGN,3475027.819,3618058.311
AMSI,43.768,40.972,1.26,6.42,0.9,0.5,-0.017,Reilinger,3482646.58,3336006.196
ANGN,57.8973,26.4572,0.52,12.38,0.48,0.34,-0.003,IPGN,3036605.514,4840257.264
